Id,label,PredictedLabel
180,0.009125923,0
181,0.000356171,0
182,0.000934951,0
183,0.095725208,0
184,0.165938609,0
185,0.999998044,1
186,0.754667683,1
187,0.974332368,1
188,0.999988376,1
189,0.99999757,1
190,0.999976551,1
191,0.999956671,1
192,0.895060038,1
193,0.999969067,1
194,0.99999924,1
195,0.001266276,0
196,0.999978243,1
197,0.970812453,1
198,0.010642225,0
199,0.999975154,1
200,0.999943552,1
201,0.999981879,1
202,0.999883426,1
203,0.999933534,1
204,0.999998252,1
205,0.999989774,1
206,0.00092615,0
207,0.329329477,0
208,0.001109102,0
209,0.007346789,0
210,0.015092119,0
211,0.006630023,0
212,0.000496403,0
213,0.238955734,0
214,0.000450606,0
215,0.006110275,0
216,0.034892133,0
217,0.004074684,0
218,0.024983836,0
219,0.004586906,0
220,0.002239266,0
221,0.001476392,0
222,0.993892196,1
223,0.998023715,1
224,0.002141183,0
225,0.993867491,1
226,0.017676788,0
227,0.016634473,0
228,0.998890794,1
229,0.999921565,1
230,0.999883114,1
231,1,1
232,0.999903255,1
233,0.999615143,1
234,0.999829455,1
235,0.9997113,1
236,0.001848181,0
237,0.999314126,1
238,0.998565278,1
239,1,1
240,0.999436589,1
241,0.99934767,1
242,0.99997795,1
243,0.998135898,1
244,0.999534088,1
245,0.999969417,1
246,0.999918159,1
247,0.999849941,1
248,0.013762057,0
249,0.070141743,0
250,8.86E-05,0
251,2.25E-06,0
252,0.002706427,0
253,0.010317914,0
254,0.08365132,0
255,0.013441787,0
256,0.997606465,1
257,0.002981273,0
258,0.999944314,1
259,0.998659195,1
260,0.999950269,1
261,0.999439159,1
262,0.999139315,1
263,0.999998172,1
264,0.002254206,0
265,0.999809989,1
266,0.999718588,1
267,0.20099311,0
268,0.00183608,0
269,0.999267492,1
270,1,1
271,0.009838825,0
272,0.002777216,0
273,0.000825126,0
274,0.999783263,1
275,0.999065174,1
276,0.999254306,1
277,0.999931219,1
278,0.998273409,1
279,0.999186251,1
280,0.999949497,1
281,0.997466334,1
282,0.999773986,1
283,0.999988545,1
284,0.999998375,1
285,0.999997907,1
286,0.999910462,1
287,0.999992115,1
288,0.998575042,1
289,0.999076164,1
290,0.001619282,0
291,0.004968153,0
292,0.000263258,0
293,0.99991394,1
294,0.999279708,1
295,0.008089206,0
296,0.99997609,1
297,0.999175611,1
298,0.0020544,0
299,0.026267495,0
300,0.999875182,1
301,0.001659172,0
302,0.024481286,0
303,0.997945254,1
304,0.999349514,1
305,0.999500246,1
306,0.996567195,1
307,0.00684677,0
308,0.999819645,1
309,0.003313556,0
310,0.002151249,0
311,0.003196136,0
312,0.000105091,0
313,2.63E-05,0
314,3.71E-08,0
315,0.997420871,1
316,0.998759713,1
317,0.007001147,0
318,0.996203852,1
319,0.995689989,1
320,0.999197839,1
321,0.999193411,1
322,1.70E-05,0
323,4.13E-05,0
324,0.26266197,0
325,0.999998362,1
326,0.999979279,1
327,0.999728434,1
328,1,1
329,0.999994582,1
330,0.999976023,1
331,0.999990175,1
332,0.999263251,1
333,0.999889053,1
334,0.999910186,1
335,0.999993331,1
336,0.999977664,1
337,0.999904144,1
338,0.999996288,1
339,0.999995188,1
340,0.999988026,1
341,0.999974072,1
342,0.999933328,1
343,0.999837547,1
344,0.999954581,1
345,0.998888328,1
346,0.999992838,1
347,0.999749252,1
348,0.999988595,1
349,0.019780713,0
350,0.007481266,0
351,0.999958167,1
352,0.999657963,1
353,0.999931685,1
354,0.999949877,1
355,0.999936599,1
356,0.999989303,1
357,0.20025645,0
358,0.999614935,1
359,0.989190673,1
360,0.998269628,1
361,0.99850623,1
362,0.999827112,1
363,0.019590906,0
364,0.999799809,1
365,0.017010239,0
366,0.999833844,1
367,9.96E-05,0
368,1.08E-05,0
369,2.34E-05,0
370,0.999999602,1
371,0.000333085,0
372,0.999904147,1
373,0.997033777,1
374,0.999984339,1
375,0.999899275,1
376,0.999999871,1
377,0.001303909,0
378,0.001771172,0
379,0.999522158,1
380,0.995241114,1
381,0.99854203,1
382,0.998302976,1
383,0.999874369,1
384,0.998322384,1
385,0.999819087,1
386,0.999991629,1
387,0.999789116,1
388,0.999928248,1
389,0.999901011,1
390,0.999967675,1
391,0.999966878,1
392,0.999987793,1
393,0.999975477,1
394,0.9998813,1
395,0.99999624,1
396,0.000151258,0
397,1,1
398,0.99966066,1
399,0.999860765,1
400,0.999463957,1
401,0.999897117,1
402,0.999714965,1
403,1,1
404,0.999929202,1
405,0.007911418,0
406,0.001233382,0
407,0.999999999,1
408,0.001635108,0
409,0.999331614,1
410,0.999936445,1
411,0.993718539,1
412,0.99931729,1
413,0.999766385,1
414,0.999580925,1
415,0.999952472,1
416,0.997990725,1
417,0.998950158,1
418,0.999889073,1
419,0.999959574,1
420,0.998183565,1
421,0.999991621,1
422,0.999979253,1
423,0.999913541,1
424,1,1
425,0.999986343,1
426,0.999058663,1
427,0.008679032,0
428,0.278207235,0
429,0.001334259,0
430,0.999910852,1
431,0.999999985,1
432,0.999637787,1
433,0.004574076,0
434,0.999852949,1
435,0.00721755,0
436,0.006463643,0
437,0.02486425,0
438,0.0108344,0
439,0.060949792,0
440,0.996044488,1
441,0.999246441,1
442,0.999987581,1
443,0.997411746,1
444,0.999254141,1
445,0.998678059,1
446,0.999873328,1
447,0.00349678,0
448,0.998587363,1
449,0.999902632,1
450,0.999825773,1
451,1,1
452,2.79E-05,0
453,0.014236443,0
454,0.999803693,1
455,0.999998932,1
456,0.999921068,1
457,0.00060319,0
458,0.997696659,1
459,3.34E-05,0
460,0.999996737,1
461,0.999990875,1
462,0.999615385,1
463,0.999958126,1
464,0.99992743,1
465,0.999950575,1
466,0.999996209,1
467,0.999999845,1
