pn_id,usma_grad_yr,ma100,ma103,ma104,ma153,ma205,ma255,ma206,core_avg,cqpa,ccps,timeframe
C00139238,2020,,,,,,,0.88303,0.88303,3.198,3.03523636,17-2
C80630396,2019,,0.85995,0.85922,,0.746,,0.739,0.8010425,2.481,2.45245838,17-2
C68823216,2019,,0.705775,0.68518,,,,0.6019,0.664285,1.739,1.89050579,17-2
C23293146,2019,,0.822585,0.84709666,,0.7717,,0.75901,0.80009791,2.494,2.66517639,17-2
C70696048,2019,,,,0.860385,,0.81953195,0.86828,0.84939898,3.026,2.91167212,17-2
C61822736,2019,,0.952495,0.9793,,,,0.967,0.966265,3.757,3.34283257,17-2
C00640834,2019,,0.696815,0.6085,,,,0.74631,0.70474448,2.005,2.16516638,17-2
C24087551,2019,,0.93835,0.92933333,,0.873,,0.8724,0.90327083,3.33,2.73492074,17-2
C96713863,2020,,,,0.96596666,,,0.969,0.96748333,3.688,3.10801721,17-2
C67974911,2019,,0.94343,0.97916666,,0.941,,0.87402,0.93440416,3.502,3.00953197,17-2
C24363961,2019,,0.814705,0.81264333,,0.8615,,0.7642,0.81326208,2.526,2.60019112,17-2
C87641360,2019,,0.814,0.85431666,,0.843,,0.87403,0.84633666,2.935,2.97948599,17-2
C53958482,2019,,0.765435,0.80583333,,,,0.85636,0.80920944,2.581,2.59397221,17-2
C50827016,2019,,0.655975,0.73837,,,,0.5475,0.69106518,1.634,1.85631132,17-2
C64775833,2019,,0.7573,0.7445,,,,0.76825,0.75668333,2.939,2.66429949,17-2
C25119986,2019,,0.838125,0.7,,0.7834,,0.76053,0.77051375,2.349,2.38034225,17-2
C53969397,2019,0.8715,0.841325,0.8045,,,,0.7705,0.82195625,2.843,3.03217816,17-2
C45786293,2019,,0.650475,0.68,,,,0.633,0.65449166,1.834,2.02309656,17-2
C03875778,2019,,0.919525,0.94575,,0.918,,0.9027,0.92149375,3.43,3.11379123,17-2
C96062082,2019,,0.80261,0.81066666,,0.77,,0.74957,0.78321166,2.789,2.62203193,17-2
C06375748,2019,,0.842795,0.79766666,,0.865,,0.8149,0.83009041,2.816,2.75354648,17-2
C96858699,2019,,0.8256,0.82340333,,0.9065,,0.8194,0.84372583,2.872,2.65510654,17-2
C59466806,2019,,0.84756,0.7646,,0.88815,,0.83967,0.834995,2.775,2.80689359,17-2
C36050230,2019,,0.71615,0.74683333,,0.82332,,0.769,0.76382583,2.349,2.44977546,17-2
C32331351,2019,,0.95792,0.93533333,,0.9605,,0.905,0.93968833,3.384,2.93777061,17-2
C29279398,2019,,0.89906,0.87978666,,0.87005,,0.80266,0.86288916,3.108,2.75715923,17-2
C09751477,2019,,0.767425,0.69928666,,,,0.63469387,0.71866388,2.34,2.15547061,17-2
C54820032,2019,,0.90895,0.88783333,,,,0.85482,0.88386777,3.71,3.11092401,17-2
C91790469,2019,,0.9215,0.952,,0.9027,,0.86723,0.9108575,3.073,2.51355815,17-2
C28385507,2019,0.8705,0.76189,0.7711,,,,0.71875,0.78056,2.615,2.86134648,17-2
C62107808,2019,,0.740705,0.58753768,,,,0.62451,0.67897853,2.216,2.25934744,17-2
C88831381,2019,,0.9245,0.90016666,,,,0.9,0.90822222,3.504,3.18042684,17-2
C65139008,2019,,0.9375,0.924,,,,0.93,0.9305,3.498,2.99992895,17-2
C92460147,2018,,0.82675,0.86633333,,0.84005,,0.8114,0.83613333,2.91,2.64480901,17-2
C15887270,2019,,0.93795,0.95895,,0.951,,0.938,0.946475,3.614,3.28348041,17-2
C75918755,2019,,0.8237,0.74641666,,0.7959,,0.75436,0.78009416,2.46,2.53507566,17-2
C15442938,2019,,0.873315,0.824,,0.7921,,0.7556,0.81125375,2.337,2.31943154,17-2
C27934640,2019,,0.93725,0.95083333,,,,0.93125,0.93977777,3.827,3.39050293,17-2
C01743461,2019,,0.898,0.9085,,,,0.86349,0.88999666,3.056,2.8534143,17-2
C52313956,2019,,0.78475,0.83783333,,0.8775,,0.85189,0.83799333,2.736,2.64040208,17-2
C71679724,2019,,0.9135,0.90036666,,0.86832,,0.84464,0.88170666,3.074,2.7394464,17-2
C66483393,2019,,0.66855,0.71690666,,,,0.5665,0.66423916,2.11,2.1837306,17-2
